trackName,artist,date,region
Starboy,The Weeknd,1/1/17,lt
Starboy,The Weeknd,1/1/17,ee
Starboy,The Weeknd,1/1/17,ca
Starboy,The Weeknd,1/1/17,pt
Starboy,The Weeknd,1/1/17,is
Starboy,The Weeknd,1/1/17,sk
Starboy,The Weeknd,1/1/17,lu
Starboy,The Weeknd,1/1/17,au
Starboy,The Weeknd,1/1/17,lv
Starboy,The Weeknd,1/1/17,gr
Starboy,The Weeknd,1/2/17,lt
Starboy,The Weeknd,1/2/17,ee
Starboy,The Weeknd,1/2/17,ca
Starboy,The Weeknd,1/2/17,pl
Starboy,The Weeknd,1/2/17,pt
Starboy,The Weeknd,1/2/17,is
Starboy,The Weeknd,1/2/17,cz
Starboy,The Weeknd,1/2/17,sk
Starboy,The Weeknd,1/2/17,lu
Starboy,The Weeknd,1/2/17,au
Starboy,The Weeknd,1/2/17,lv
Starboy,The Weeknd,1/2/17,gr
Starboy,The Weeknd,1/3/17,ca
Starboy,The Weeknd,1/3/17,pl
Starboy,The Weeknd,1/3/17,pt
Starboy,The Weeknd,1/3/17,is
Starboy,The Weeknd,1/3/17,cz
Starboy,The Weeknd,1/3/17,sk
Starboy,The Weeknd,1/3/17,lu
Starboy,The Weeknd,1/3/17,au
Starboy,The Weeknd,1/3/17,lv
Starboy,The Weeknd,1/3/17,gr
Starboy,The Weeknd,1/4/17,lt
Starboy,The Weeknd,1/4/17,ee
Starboy,The Weeknd,1/4/17,ca
Starboy,The Weeknd,1/4/17,pl
Starboy,The Weeknd,1/4/17,pt
Starboy,The Weeknd,1/4/17,is
Starboy,The Weeknd,1/4/17,cz
Starboy,The Weeknd,1/4/17,sk
Starboy,The Weeknd,1/4/17,lu
Starboy,The Weeknd,1/4/17,au
Starboy,The Weeknd,1/4/17,lv
Starboy,The Weeknd,1/4/17,gr
Starboy,The Weeknd,1/5/17,lt
Starboy,The Weeknd,1/5/17,ee
Starboy,The Weeknd,1/5/17,ca
Starboy,The Weeknd,1/5/17,pl
Starboy,The Weeknd,1/5/17,pt
Starboy,The Weeknd,1/5/17,is
Starboy,The Weeknd,1/5/17,cz
